name,value,year,lastValue,rank
recordnet.com,6,2018,,1
Record-Courier,3,2018,,2
The Daily Ardmoreite,3,2018,,2
AFP.com,3,2018,,2
KTLA,3,2018,,2
Times Record,3,2018,,2
The Register-Guard,3,2018,,2
purepeople.com,3,2018,,2
Gaston Gazette,2,2018,,9
The State Journal-Register,2,2018,,9
Panama City News Herald,2,2018,,9
Northwest Florida Daily News,2,2018,,9
The Daily News,2,2018,,9
"Star Courier - Kewanee, IL",2,2018,,9
Daily Review Atlas,2,2018,,9
The Topeka Capital-Journal,2,2018,,9
The Columbus Dispatch,2,2018,,9
Eurobasket LLC,2,2018,,9
GoErie.com,1,2018,,19
"Siskiyou Daily News, Yreka, CA",1,2018,,19
"Monroe News - Monroe, Michigan",1,2018,,19
Waxahachie Daily Light,1,2018,,19
Rockford Register Star,1,2018,,19
Athens Banner-Herald,1,2018,,19
"Beauregard Daily News - Beauregard, LA",1,2018,,19
providencejournal.com,1,2018,,19
"The Daily Reporter - Coldwater, MI",1,2018,,19
seacoastonline.com,1,2018,,19
Pekin Daily Times,1,2018,,19
"The Rolla Daily News - Rolla, MO",1,2018,,19
Times Reporter,1,2018,,19
"Oakridger - Oak Ridge, TN",1,2018,,19
"Crookston Times - Crookston, MN",1,2018,,19
Uy.press,1,2018,,19
The Daily Record,1,2018,,19
"The Kansan - Newton, KS",1,2018,,19
"Leesville Daily Leader - Leesville, LA",1,2018,,19
The Daily Herald,1,2018,,19
peacefmonline.com,1,2018,,19
Gainesville Sun,1,2018,,19
"LA Junta Tribune - La Junta, CO",1,2018,,19
"The Herald News, Fall River, MA",1,2018,,19
The Hawk Eye Newspaper,1,2018,,19
"Olney Daily Mail - Olney, IL",1,2018,,19
"Ridgecrest Daily Independent - Ridgecrest, CA",1,2018,,19
"The Enterprise, Brockton, MA",1,2018,,19
The Repository,1,2018,,19
Gadsden Times,1,2018,,19
"Boonville Daily News - Boonville, MO",1,2018,,19
telegram.com,1,2018,,19
Star Tribune,10,2019,,1
"The Herald News, Fall River, MA",9,2019,,2
"The Enterprise, Brockton, MA",8,2019,,3
"The Taunton Daily Gazette, Taunton, MA",7,2019,,4
The Leader,6,2019,,5
NBC News,6,2019,,5
recordnet.com,6,2019,,5
wbal.com,4,2019,,8
CBS News,4,2019,,8
The Inquisitr,4,2019,,8
The Daily Ardmoreite,3,2019,,11
Wadena Pioneer Journal,3,2019,,11
Grand Forks Herald,3,2019,,11
Pine and Lakes Echo Journal,3,2019,,11
Park Rapids Enterprise,3,2019,,11
Times Record,3,2019,,11
The Register-Guard,3,2019,,11
Detroit Lakes Tribune,3,2019,,11
VG Nett,3,2019,,11
RiverTowns,3,2019,,11
purepeople.com,3,2019,,11
Billboard,3,2019,,11
Record-Courier,3,2019,,11
The Globe,3,2019,,11
lawandcrime.com,3,2019,,11
Echo Press,3,2019,,11
KSTP,3,2019,,11
nydailynews.com,3,2019,,11
AFP.com,3,2019,,11
KTLA,3,2019,,11
Duluth News Tribune,3,2019,,11
INFORUM,3,2019,,11
WFLA,2,2019,,33
The Topeka Capital-Journal,2,2019,,33
The Columbus Dispatch,2,2019,,33
Washington Examiner,2,2019,,33
The State Journal-Register,2,2019,,33
Panama City News Herald,2,2019,,33
The Globe and Mail,2,2019,,33
The Pueblo Chieftain,2,2019,,33
Heavy.com,2,2019,,33
Tuscaloosa News,2,2019,,33
Post Bulletin,2,2019,,33
City Pages,2,2019,,33
Northwest Florida Daily News,2,2019,,33
West Central Tribune,2,2019,,33
The Palm Beach Post,2,2019,,33
The Daily News,2,2019,,33
"Chillicothe News - Chillicothe, MO",2,2019,,33
"Star Courier - Kewanee, IL",2,2019,,33
camerounlink.com,216,2020,,1
Star Tribune,29,2020,,2
NBC News,19,2020,,3
Mail Online,18,2020,,4
wbal.com,18,2020,,4
CBS News,18,2020,,4
yeniakit.com.tr,13,2020,,7
The Inquisitr,12,2020,,8
KSTP,11,2020,,9
purepeople.com,9,2020,,10
"The Herald News, Fall River, MA",9,2020,,10
Newsweek,9,2020,,10
nydailynews.com,9,2020,,10
Duluth News Tribune,8,2020,,14
TMZ,8,2020,,14
جريدة الدستور الاردنية,8,2020,,14
chicagotribune.com,8,2020,,14
"The Enterprise, Brockton, MA",8,2020,,14
KTLA,7,2020,,19
"The Taunton Daily Gazette, Taunton, MA",7,2020,,19
INFORUM,7,2020,,19
Houston Chronicle,6,2020,,22
Albany Herald,6,2020,,22
RiverTowns,6,2020,,22
Billboard,6,2020,,22
www.igfm.sn,6,2020,,22
Rockdale Citizen & Newton Citizen,6,2020,,22
TheHill,6,2020,,22
Washington Examiner,6,2020,,22
seattlepi.com,6,2020,,22
The Leader,6,2020,,22
Wadena Pioneer Journal,6,2020,,22
Park Rapids Enterprise,6,2020,,22
ABC13 Houston,6,2020,,22
recordnet.com,6,2020,,22
www.efe.com,6,2020,,22
WFLA,6,2020,,22
USA TODAY,5,2020,,38
Fox News,5,2020,,38
the Guardian,5,2020,,38
Grand Forks Herald,5,2020,,38
Pine and Lakes Echo Journal,5,2020,,38
West Central Tribune,5,2020,,38
Detroit Lakes Tribune,5,2020,,38
BostonGlobe.com,5,2020,,38
The Globe,5,2020,,38
lawandcrime.com,5,2020,,38
Echo Press,5,2020,,38
Newsmax,5,2020,,38
dailycaller.com,5,2020,,38
camerounlink.com,218,2021,,1
Star Tribune,61,2021,,2
wbal.com,49,2021,,3
La iguana TV,43,2021,,4
CBS News,39,2021,,5
Mail Online,38,2021,,6
NBC News,36,2021,,7
KSTP,30,2021,,8
Fox News,30,2021,,8
yeniakit.com.tr,27,2021,,10
The Inquisitr,24,2021,,11
nydailynews.com,24,2021,,11
dailycaller.com,21,2021,,13
TheBlaze,20,2021,,14
TheHill,20,2021,,14
chicagotribune.com,19,2021,,16
Twin Cities,19,2021,,16
Duluth News Tribune,18,2021,,18
TMZ,18,2021,,18
Newsweek,18,2021,,18
WFLA,15,2021,,21
INFORUM,15,2021,,21
USA TODAY,15,2021,,21
Washington Examiner,15,2021,,21
جريدة الدستور الاردنية,14,2021,,25
KTLA,14,2021,,25
West Central Tribune,14,2021,,25
Rockdale Citizen & Newton Citizen,14,2021,,25
Wadena Pioneer Journal,13,2021,,29
Pine and Lakes Echo Journal,13,2021,,29
Park Rapids Enterprise,13,2021,,29
The Daily Wire,13,2021,,29
The Sun,13,2021,,29
RiverTowns,12,2021,,34
Grand Forks Herald,12,2021,,34
MSNBC.com,12,2021,,34
Gwinnett Daily Post,12,2021,,34
www.efe.com,12,2021,,34
BostonGlobe.com,12,2021,,34
Albany Herald,12,2021,,34
Los Angeles Times,12,2021,,34
KRON4,12,2021,,34
Billboard,11,2021,,43
The Globe,11,2021,,43
Echo Press,11,2021,,43
Hosted,11,2021,,43
"The Latest Hip-Hop News, Music and Media | Hip-Hop Wired",11,2021,,43
seattlepi.com,11,2021,,43
the Guardian,11,2021,,43
Post Bulletin,11,2021,,43
camerounlink.com,372,2022,,1
wbal.com,148,2022,,2
Star Tribune,103,2022,,3
NBC News,97,2022,,4
Mail Online,88,2022,,5
Fox News,81,2022,,6
CBS News,68,2022,,7
